361,389,60
359,377,60
357,363,60
355,350,60
354,335,60
352,320,60
350,305,60
348,291,60
346,280,60
345,270,60
343,260,60
341,249,60
340,237,60
338,226,60
335,216,60
334,205,60
333,194,60
336,191,60
340,189,60
345,187,60
349,184,60
353,180,60
356,178,60
360,175,60
364,172,60
368,168,60
371,165,60
375,162,60
378,159,60
382,156,60
385,153,60
389,150,60
391,147,60
394,144,60
396,140,60
402,147,60
403,143,60
405,138,60
426,129,60
427,127,60
429,125,60
432,123,60
435,119,60
438,116,60
439,112,60
438,107,60
438,102,60
439,98,60
440,98,60
439,99,60
440,99,60
440,101,60
440,103,60
440,105,60
440,105,60
439,104,60
440,104,60
440,102,60
440,101,60
440,101,60
440,100,60
439,101,60
439,102,60
439,103,60
440,104,60
440,105,60
440,107,60
440,109,60
440,112,60
441,115,60
441,100,60
441,105,60
440,109,60
439,110,60
438,111,60
438,112,60
438,113,60
438,114,60
438,115,60
438,116,60
438,117,60
439,117,60
438,117,60
438,118,60
437,119,60
436,120,60
436,121,60
435,121,60
435,122,60
435,123,60
435,123,60
436,123,60
436,124,60
436,124,60
436,124,60
436,125,60
436,125,60
435,126,60
435,126,60
435,127,60
434,127,60
434,127,60
434,128,60
434,128,60
435,129,60
435,129,60
436,129,60
436,129,60
436,129,60
435,129,60
435,129,60
434,128,60
433,127,60
438,140,60
437,140,60
435,143,60
435,143,60
436,144,60
435,146,60
431,144,60
404,136,60
381,132,60
358,129,60
333,126,60
305,123,60
281,119,60
257,115,60
234,113,60
206,110,60
183,108,60
160,105,60
137,102,60
108,98,60
84,96,60
60,92,60
37,90,60
9,86,60
7,81,60
9,77,60
14,74,60
16,75,60
36,81,60
36,80,60
35,79,60
35,77,60
35,76,60
35,76,60
34,77,60
34,77,60
34,77,60
34,76,60
34,75,60
35,74,60
35,75,60
34,74,60
35,74,60
35,74,60
34,73,60
34,72,60
34,72,60
34,73,60
34,73,60
42,45,60
47,42,60
51,40,60
54,40,60
58,38,60
62,39,60
65,38,60
69,38,60
73,37,60
76,37,60
81,37,60
85,36,60
89,36,60
93,36,60
97,35,60
100,36,60
101,38,60
102,39,60
103,40,60
105,41,60
106,42,60
107,42,60
108,44,60
109,44,60
110,45,60
110,46,60
111,47,60
112,48,60
112,49,60
113,50,60
113,50,60
113,51,60
114,56,60
139,60,60
141,64,60
145,68,60
151,71,60
157,74,60
162,78,60
167,81,60
172,85,60
177,88,60
183,92,60
188,95,60
194,99,60
199,102,60
205,105,60
209,109,60
212,112,60
234,122,60
237,125,60
241,128,60
246,132,60
252,135,60
257,138,60
261,141,60
266,145,60
271,148,60
276,151,60
281,154,60
286,157,60
290,160,60
295,163,60
300,166,60
302,172,60
304,176,60
305,180,60
307,183,60
308,188,60
309,191,60
310,196,60
310,200,60
310,204,60
310,207,60
310,206,60
310,205,60
310,204,60
310,203,60
310,202,60
310,202,60
310,201,60
310,201,60
310,200,60
309,200,60
308,199,60
308,200,60
307,200,60
307,199,60
307,197,60
307,195,60
308,195,60
308,194,60
309,194,60
309,194,60
309,194,60
309,192,60
309,191,60
309,190,60
309,190,60
308,189,60
307,190,60
307,189,60
306,189,60
306,189,60
306,187,60
306,187,60
306,186,60
305,187,60
305,190,60
305,193,60
305,196,60
304,199,60
304,201,60
303,204,60
302,207,60
300,209,60
299,212,60
298,214,60
298,216,60
297,219,60
296,221,60
296,222,60
295,224,60
294,225,60
294,226,60
293,228,60
292,229,60
291,230,60
290,231,60
291,250,60
289,251,60
289,252,60
288,253,60
287,253,60
287,255,60
286,258,60
284,261,60
279,259,60
279,261,60
283,258,60
285,260,60
287,263,60
287,265,60
287,269,60
286,271,60
286,274,60
287,277,60
288,279,60
290,279,60
291,278,60
292,277,60
294,277,60
295,276,60
295,276,60
296,275,60
296,274,60
296,273,60
297,273,60
298,272,60
298,271,60
299,270,60
300,270,60
301,269,60
303,268,60
303,268,60
304,267,60
305,266,60
305,266,60
305,265,60
305,264,60
305,263,60
305,258,60
306,269,60
353,280,60
382,293,60
407,303,60
435,307,60
450,298,60
462,290,60
474,282,60
486,274,60
497,266,60
502,258,60
521,259,60
527,261,60
539,264,60
550,266,60
563,267,60
576,269,60
588,269,60
595,264,60
601,258,60
603,254,60
606,250,60
624,247,60
625,242,60
629,238,60
635,233,60
642,229,60
649,225,60
655,222,60
663,218,60
671,214,60
678,210,60
685,205,60
691,200,60
697,196,60
700,193,60
702,189,60
720,185,60
721,180,60
723,175,60
728,172,60
734,168,60
737,165,60
739,163,60
